 WORKFLOW_ENTRY_ID |     WORKFLOW_DATE      | GROUP | INSTANCE_ID | WORKFLOW_ITEM_ID 
              2952 | 2021-06-29 13:12:13+00 |     1 |        1155 |               71
              2966 | 2021-06-29 09:59:49+00 |     1 |         555 |               71
              2967 | 2020-07-03 09:59:49+00 |     1 |         555 |               72
              3049 | 2021-07-02 16:03:18+00 |     1 |        1267 |               71
              3065 | 2021-07-08 12:17:22+00 |     1 |        1162 |               71
              3066 | 2020-07-10 12:17:22+00 |     1 |        1162 |               72
              2948 | 2021-06-29 12:47:20+00 |     1 |        1145 |               71
              3032 | 2021-07-07 06:39:22+00 |     1 |        1342 |               71
              3033 | 2020-07-09 06:39:22+00 |     1 |        1342 |               72
              3028 | 2021-07-07 06:43:04+00 |     1 |        1317 |               71
              3029 | 2020-07-09 06:43:04+00 |     1 |        1317 |               72
              3051 | 2022-07-02 14:33:46+00 |     1 |        1268 |               71
              3068 | 2022-07-08 07:55:02+00 |     1 |        1048 |               71
              3069 | 2020-07-10 07:55:02+00 |     1 |        1048 |               72
              3129 | 2021-07-01 06:59:30+00 |     1 |        1021 |               71
